type,title,country,release_year,duration,listed_in,description,id,popularity,vote_count,vote_average
Movie,The Keeping Hours,United States,2017,95 min,"Dramas, Thrillers","Years after the death of their only child and subsequent divorce, a couple discovers that their son's ghost continues to inhabit their former home.",tt5114154,10.109,64,6.7
Movie,Brother's Shadow,United States,2006,90 min,"Dramas, Independent Movies","After serving time in jail, a disgraced son returns to the family business in New York, where he struggles to fill the shoes of his late twin brother.",tt0468458,3.05,2,7.0
Movie,Little Evil,United States,2017,95 min,"Comedies, Horror Movies","In this horror-comedy, a recently married man who wants to bond with his stepson begins to fear that the boy is a demon.",tt2937366,14.006,652,5.6
Movie,Resurface,United States,2017,28 min,"Documentaries, Sports Movies",A suicidal war veteran finds like-minded souls in a surf therapy program that helps traumatized soldiers heal while riding the waves.,tt6081408,5.647,15,7.1
Movie,Holy Hell,United States,2016,103 min,Documentaries,An ex-member charts his path from idealism to disenchantment in a California cult when alarming revelations about the group's leader come to light.,tt5278464,9.291,82,6.8
Movie,Iliza Shlesinger: War Paint,United States,2013,75 min,Stand-Up Comedy,"""Last Comic Standing"" winner Iliza Shlesinger unleashes her acerbic, stream-of-conscious comedy on an unsuspecting audience in her hometown of Dallas.",tt2836376,9.031,43,6.4
Movie,After,United States,2019,106 min,"Dramas, Romantic Movies","Wholesome college freshman Tessa Young thinks she knows what she wants out of life, until she crosses paths with complicated bad boy Hardin Scott.",tt0319262,25.765,5447,6.4
Movie,Home Is Where the Killer Is,United States,2019,87 min,"Dramas, Thrillers","Recovering from cancer, a young woman thinks she’s found a friend when she rents a room from a caring ex-doctor. But empathy soon becomes obsession.",tt9086910,5.19,4,4.0
Movie,Mo Amer: The Vagabond,United States,2018,57 min,Stand-Up Comedy,"Arab-American comedian Mo Amer recounts his life as a refugee comic, from traveling with the name Mohammed to his long path to citizenship.",tt9060526,7.301,7,6.2
Movie,Deon Cole: Cole Hearted,United States,2019,70 min,Stand-Up Comedy,"Embracing his belief that comedy is the last raw form of expression, Deon Cole explains the right time to thank Jesus and the wrong time to say ""welp.""",tt10977680,10.958,13,6.5
Movie,The Spooky Tale of Captain Underpants Hack-a-ween,United States,2019,46 min,"Children & Family Movies, Comedies","When Melvin tries to cancel Halloween, clever best friends Harold and George create their own spooky holiday – and it's a huge success!",tt10945060,22.925,4,5.5
Movie,Chris Brown: Welcome to My Life,United States,2017,80 min,"Documentaries, Music & Musicals","Featuring interviews, concert footage and behind-the-scenes access, this documentary delivers fans an all-access look at the life of Chris Brown.",tt5588850,8.425,241,6.4
Movie,13TH,United States,2016,101 min,Documentaries,"In this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of African Americans and the U.S. prison boom.",tt0080761,35.372,1672,6.4
Movie,Russell Peters: Almost Famous,United States,2016,73 min,Stand-Up Comedy,"The comic comes home to Toronto to sound off on cultural quirks, kids' furniture and bathroom visits, reveling in all things ridiculously human.",tt5946232,4.338,26,6.9
Movie,Seven in Heaven,United States,2018,94 min,Horror Movies,Two teenagers step into a secret closet and emerge in a terrifying alternate reality. They must find their way back before the door shuts forever.,tt4269118,16.544,54,6.0
Movie,The Death and Life of Marsha P. Johnson,United States,2017,106 min,"Documentaries, LGBTQ Movies","As she fights the tide of violence against trans women, activist Victoria Cruz probes the suspicious 1992 death of her friend Marsha P. Johnson.",tt5233558,9.494,62,7.5
Movie,Private Life,United States,2018,124 min,"Comedies, Dramas, Independent Movies","Struggling to conceive, a couple in their 40s are almost out of options – until a sliver of hope arrives in the form of their visiting step-niece.",tt5536610,14.165,171,6.9
Movie,Super Monsters: Vida's First Halloween,United States,2019,24 min,Children & Family Movies,"The Super Monsters share their Halloween traditions with Vida, then get invited to a Día de los Muertos party in the Howlers' backyard.",tt10927576,6.528,1,6.0
Movie,The Haunting of Molly Hartley,United States,2008,85 min,"Horror Movies, Thrillers","A troubled teenage girl hopes to start fresh at a new school, but the horrifying truth about her past is destined to catch up with her.",tt1045655,12.792,103,4.3
Movie,LEGO Jurassic World: The Indominus Escape,United States,2016,25 min,"Children & Family Movies, Comedies",The scientists of Jurassic World create a captivating and terrifying new creature that loves hot dogs. But what happens when the hot dogs run out?,tt6101862,12.042,46,6.0
Movie,Judah Friedlander: America Is the Greatest Country in the United States,United States,2017,84 min,Stand-Up Comedy,"Deadpan comic and self-proclaimed world champion Judah Friedlander performs over several nights in New York, explaining why America is No. 1.",tt7582890,4.655,20,7.9
Movie,The B-Side: Elsa Dorfman's Portrait Photography,United States,2016,76 min,Documentaries,"Filmmaker Errol Morris probes the life, work and studio of his pal Elsa Dorfman, a Polaroid photographer who's shot luminaries and regular folk alike.",tt5952468,6.127,13,6.7
Movie,Kristy,United States,2013,85 min,Horror Movies,"Opting to stay on campus over the Thanksgiving holiday, coed Justine and a handful of friends find their break violently disrupted by a sadistic gang.",tt2027136,12.428,235,6.0
Movie,SPF-18,United States,2017,75 min,"Dramas, Romantic Movies, Sports Movies",The arrival of an enigmatic struggling musician in Malibu shakes the ground beneath the feet of a teenage girl and her surfer boyfriend.,tt7296862,16.105,879,4.4
Movie,Forks Over Knives,United States,2011,96 min,Documentaries,"According to the research of two food scientists, the popularity of processed foods has led to epidemic rates of obesity, diabetes and other diseases.",tt1567233,8.306,101,7.1
Movie,Truth or Dare,United States,2017,88 min,Horror Movies,"A game of ""Truth or Dare"" among college friends on spring break turns deadly when a demon seems determined to use it to kill them all.",tt6772950,47.987,2804,6.0
Movie,Cult of Chucky,United States,2017,90 min,Horror Movies,"Following a string of murders in the asylum where she's confined, Nica Pierce begins to wonder whether Chucky is real after all.",tt3280262,46.823,569,5.3
Movie,Rodney Carrington: Here Comes the Truth,United States,2017,66 min,Stand-Up Comedy,"Raunchy country comic and musician Rodney Carrington jokes and sings about life in his 40s, poking fun at sex, relationships and gaining weight.",tt7582798,2.581,5,5.1
Movie,Security,United States,2017,92 min,Action & Adventure,"After taking a job as a mall security guard, a former Marine steps up to protect a young girl who's being hunted by heavily armed mercenaries.",tt0271668,17.272,558,5.7
Movie,Arsenio Hall: Smart & Classy,United States,2019,63 min,Stand-Up Comedy,"In his first stand-up special, Arsenio Hall discusses getting older, the changing times and culture, social issues and even bothersome baby toes.",tt10150694,11.9,7,6.6
Movie,14 Cameras,United States,2018,89 min,"Horror Movies, Thrillers","Upping the “13 Cameras” ante, this sequel finds a family renting a vacation house that’s been customized to violate their privacy.",tt7476438,11.857,60,5.2
Movie,Joan Didion: The Center Will Not Hold,United States,2017,98 min,Documentaries,"Literary icon Joan Didion reflects on her remarkable career and personal struggles in this intimate documentary directed by her nephew, Griffin Dunne.",tt7253506,6.896,27,7.1
Movie,Manson Family Vacation,United States,2015,85 min,"Comedies, Dramas, Independent Movies","The pleasant family life of an L.A. attorney is disrupted by the sudden arrival of his brother, who is obsessed with the Charles Manson murders.",tt3275216,6.547,37,5.8
Movie,The Last Whistle,United States,2019,88 min,"Dramas, Sports Movies","After a star player dies during football practice, his coach’s career and reputation are on the line as he refuses to quit his win-at-all-costs style.",tt8318348,2.897,3,6.7
Movie,Strange Weather,United States,2016,91 min,"Dramas, Independent Movies","A grieving mother takes a road trip with her friend to confront the man who, she believes, stole her late son's business idea to get rich.",tt5205210,5.85,22,5.9
Movie,Assimilate,United States,2019,94 min,"Horror Movies, Sci-Fi & Fantasy, Thrillers",A group of friends making a web series about their hometown realize it isn’t as boring as they thought when their neighbors start behaving strangely.,tt5238904,35.733,134,6.6
